;t100;indep;t900;a201
507;2022-01;1;26966.068;Gesperrte Artikel
508;2022-01;1;114972.696;Haarwild
509;2022-01;1;6060.6;Kolonialwaren
510;2022-01;1;6152.75;Konserven divers
511;2022-01;1;1267465.838;Krusten/Sch-Weichtie
512;2022-01;1;71404.255;Milchprodukte
513;2022-01;1;47;Non Food
514;2022-01;1;30362.769;Nordsee
515;2022-01;1;9045.6;Oel/Essig/Senf
516;2022-01;1;15735.092;Pasteten/Terrinen
517;2022-01;1;88281.91;Pilze
518;2022-01;1;104.8;Post/cargo
519;2022-01;1;222.3;Rabatte
520;2022-01;1;82282.895;Teigw./Spätzli/Gnoc.
521;2022-02;0;4453.982;Bofrost
522;2022-02;0;187101.231;Convenience
523;2022-02;0;6002.284;Federwild
524;2022-02;0;2931260.527;Fisch
525;2022-02;0;1759055.246;Fleisch
526;2022-02;0;10530.35;Früchte
527;2022-02;0;1372179.253;Geflügel
528;2022-02;0;24149.69;Gemüse
529;2022-02;0;12747.9;Gesperrte Artikel
530;2022-02;0;118426.558;Haarwild
531;2022-02;0;5703.42;Kolonialwaren
532;2022-02;0;6051.15;Konserven divers
533;2022-02;0;1306387.433;Krusten/Sch-Weichtie
534;2022-02;0;67921.402;Milchprodukte
535;2022-02;0;771.3;Non Food
536;2022-02;0;3907.912;Nordsee
537;2022-02;0;7429.25;Oel/Essig/Senf
538;2022-02;0;9437.965;Pasteten/Terrinen
539;2022-02;0;103185.72;Pilze
540;2022-02;0;241.6;Post/cargo
541;2022-02;0;44744.27;Teigw./Spätzli/Gnoc.
542;2022-02;1;27859.47;Bofrost
543;2022-02;1;370118.9;Convenience
544;2022-02;1;3498.904;Federwild
545;2022-02;1;3017497.12;Fisch
546;2022-02;1;1478045.862;Fleisch
547;2022-02;1;16492.95;Früchte
548;2022-02;1;1611255.451;Geflügel
549;2022-02;1;33796.9;Gemüse
550;2022-02;1;16589.278;Gesperrte Artikel
551;2022-02;1;78064.85;Haarwild
552;2022-02;1;6713.65;Kolonialwaren
553;2022-02;1;9219.171;Konserven divers
554;2022-02;1;1266937.094;Krusten/Sch-Weichtie
555;2022-02;1;76971.091;Milchprodukte
556;2022-02;1;132.1;Non Food
557;2022-02;1;19554.973;Nordsee
558;2022-02;1;10475.1;Oel/Essig/Senf
559;2022-02;1;17260.879;Pasteten/Terrinen
560;2022-02;1;78615.06;Pilze
561;2022-02;1;160;Post/cargo
562;2022-02;1;73106.515;Teigw./Spätzli/Gnoc.
563;2022-03;0;0;Bofrost
564;2022-03;0;214226.76;Convenience
565;2022-03;0;5695.31;Federwild
566;2022-03;0;3233412.569;Fisch
567;2022-03;0;1947604.45;Fleisch
568;2022-03;0;9244.7;Früchte
569;2022-03;0;1596117.812;Geflügel
570;2022-03;0;29531.95;Gemüse
571;2022-03;0;15077.672;Gesperrte Artikel
572;2022-03;0;128575.533;Haarwild
573;2022-03;0;5480.93;Kolonialwaren
574;2022-03;0;5826.027;Konserven divers
575;2022-03;0;1396446.883;Krusten/Sch-Weichtie
576;2022-03;0;76635.579;Milchprodukte
577;2022-03;0;1856.4;Non Food
578;2022-03;0;2835.41;Nordsee
579;2022-03;0;5575.4;Oel/Essig/Senf
580;2022-03;0;10054.76;Pasteten/Terrinen
581;2022-03;0;102309.306;Pilze
582;2022-03;0;364.8;Post/cargo
583;2022-03;0;55766.42;Teigw./Spätzli/Gnoc.
584;2022-03;1;0;Bofrost
585;2022-03;1;424862.736;Convenience
586;2022-03;1;2355.157;Federwild
587;2022-03;1;3568081.067;Fisch
588;2022-03;1;1623982.97;Fleisch
589;2022-03;1;13944.4;Früchte
590;2022-03;1;1894222.778;Geflügel
591;2022-03;1;38162.75;Gemüse
592;2022-03;1;9240.049;Gesperrte Artikel
593;2022-03;1;89683.384;Haarwild
594;2022-03;1;7952.5;Kolonialwaren
595;2022-03;1;8007.95;Konserven divers
596;2022-03;1;1388106.301;Krusten/Sch-Weichtie
597;2022-03;1;91679.467;Milchprodukte
598;2022-03;1;1010.1;Non Food
599;2022-03;1;25867.01;Nordsee
600;2022-03;1;10493.6;Oel/Essig/Senf
601;2022-03;1;14884.373;Pasteten/Terrinen
602;2022-03;1;81948.644;Pilze
603;2022-03;1;80;Post/cargo
604;2022-03;1;96519.16;Teigw./Spätzli/Gnoc.
605;2022-04;0;211027.934;Convenience
606;2022-04;0;7024.166;Federwild
607;2022-04;0;3243658.606;Fisch
608;2022-04;0;1794903.203;Fleisch
609;2022-04;0;10630.2;Früchte
610;2022-04;0;1411274.589;Geflügel
611;2022-04;0;30792.5;Gemüse
612;2022-04;0;6388.914;Gesperrte Artikel
613;2022-04;0;105997.082;Haarwild
614;2022-04;0;5043.2;Kolonialwaren
615;2022-04;0;5798.031;Konserven divers
616;2022-04;0;1335140.833;Krusten/Sch-Weichtie
617;2022-04;0;67634.965;Milchprodukte
618;2022-04;0;1128.6;Non Food
619;2022-04;0;4974.352;Nordsee
620;2022-04;0;5993.05;Oel/Essig/Senf
621;2022-04;0;12498.059;Pasteten/Terrinen
622;2022-04;0;80090.8;Pilze
623;2022-04;0;214.8;Post/cargo
624;2022-04;0;51319.45;Teigw./Spätzli/Gnoc.
625;2022-04;1;21989;Bofrost
626;2022-04;1;371552.371;Convenience
627;2022-04;1;1229.446;Federwild
628;2022-04;1;3398439.893;Fisch
629;2022-04;1;1535522.313;Fleisch
630;2022-04;1;15617.5;Früchte
631;2022-04;1;1738108.145;Geflügel
632;2022-04;1;43409.45;Gemüse
633;2022-04;1;11480.08;Gesperrte Artikel
634;2022-04;1;79832.277;Haarwild
635;2022-04;1;6129.98;Kolonialwaren
636;2022-04;1;8340.685;Konserven divers
637;2022-04;1;1277026.352;Krusten/Sch-Weichtie
638;2022-04;1;93502.756;Milchprodukte
639;2022-04;1;852;Non Food
640;2022-04;1;26371.254;Nordsee
